site,plot,plot.code,lat,long,xcoord,ycoord,elevation,MAP
Aabilu,1,Aabilu1,11.97866,75.86724,594417.6937,1324342.216,816,3345
Aabilu,2,Aabilu2,11.98464,75.87461,595218.0377,1325006.075,857,3273
Aabilu,3,Aabilu3,11.98391,75.87249,594987.474,1324924.613,847,3273
Aabilu,4,Aabilu4,11.97184,75.86956,594672.6686,1323588.79,861,3368
Ammathi,1,Ammathi1,12.26144,75.83751,591084.7447,1355604.816,1003,2118
Ammathi,2,Ammathi2,12.26256,75.83631,590953.8443,1355728.273,952,2170
Arji,1,Arji1,12.18201,75.79672,586674.1538,1346807.246,873,2670
Arji,2,Arji2,12.18023,75.79704,586709.5461,1346610.499,916,2670
Arpattu,1,Arpattu1,12.23576,75.73536,579982.3931,1352732.518,922,3079
Arpattu,2,Arpattu2,12.23622,75.73774,580241.1311,1352784.094,941,2994
Biruga,1,Biruga1,11.98366,75.94756,603161.0541,1324923.923,892,2895
Biruga,2,Biruga2,11.98248,75.94707,603108.1511,1324793.241,941,2895
Biruga,3,Biruga3,11.98414,75.94664,603060.703,1324976.663,938,2895
Devanageri,1,Devanageri1,12.25838,75.80714,587782.6151,1355256.341,915,2336
Devanageri,2,Devanageri2,12.25931,75.80657,587720.3121,1355359.004,905,2336
Devanageri,3,Devanageri3,12.258,75.80602,587660.9247,1355213.953,918,2336
Halagunda,1,Halagunda1,12.28341,75.78312,585162.0646,1358016.702,947,2464
Halagunda,2,Halagunda2,12.28374,75.78452,585314.2129,1358053.64,1000,2464
Halligattu,1,Halligattu1,12.13908,75.93233,601444.3759,1342106.479,870,2293
Halligattu,2,Halligattu2,12.14027,75.93197,601404.7519,1342237.951,840,2293
Hathure,1,Hathure1,12.17004,75.87442,595131.8744,1345509.485,866,2423
Hathure,1,Hathure1,12.17,75.87453,595131.8744,1345509.485,866,2423
Hathure,1,Hathure1,12.16988,75.87462,595131.8744,1345509.485,866,2423
Hathure,2,Hathure2,12.17037,75.87363,595045.8035,1345545.703,863,2423
Hathure,2,Hathure2,12.17026,75.87371,595045.8035,1345545.703,863,2423
Hathure,2,Hathure2,12.17019,75.87379,595045.8035,1345545.703,863,2423
Heggala,1,Heggala1,12.14502,75.77296,584100.8162,1342709.102,928,3056
Heggala,2,Heggala2,12.1442,75.77399,584213.1478,1342618.738,977,3056
Heggala,3,Heggala3,12.14343,75.77473,584293.9095,1342533.814,1014,3056
Heggala,4,Heggala4,12.14328,75.77578,584408.2076,1342517.551,1037,3056
Kadnur,1,Kadnur1,12.21853,75.78178,585037.1104,1350841.234,911,2687
Kadnur,2,Kadnur2,12.21768,75.78139,584994.9576,1350747.11,907,2687
Kadnur,3,Kadnur3,12.21885,75.78068,584917.3505,1350876.277,908,2687
Kedamallur,1,Kedamullur1,12.13684,75.70713,576940.2753,1341785.036,956,3734
Kedamallur,2,Kedamullur2,12.13499,75.70611,576829.8177,1341580.162,902,3734
Kedamallur,3,Kedamullur3,12.1297,75.70525,576737.7527,1340994.916,919,3665
Kedamallur,4,Kedamullur4,12.1289,75.70284,576475.7382,1340905.77,866,3933
Kirguru,1,Kirguru1,12.14686,75.96359,604842.9397,1342978.733,868,2052
Kirguru,2,Kirguru2,12.14601,75.96485,604980.3784,1342885.214,870,2071
Kodagadal,1,Kodagadal1,12.37909,75.64886,570535.4504,1368558.863,944,3820
Kodagadal,2,Kodagadal2,12.37993,75.64787,570427.6014,1368651.495,943,3820
Kodagadal,3,Kodagadal3,12.38115,75.64708,570341.3933,1368786.204,971,3687
Kokka,1,Kokka1,12.08964,75.83418,590780.9063,1336604.3,775,2927
Kokka,2,Kokka2,12.09099,75.83703,591090.6252,1336754.543,786,2927
Kokka,3,Kokka3,12.08884,75.83179,590521.0631,1336515.036,786,2927
Kokka,4,Kokka4,12.08876,75.83115,590451.4363,1336505.977,802,2927
Makutta,1,Makutta1,12.14322,75.79533,586535.475,1342517.051,883,2946
Makutta,2,Makutta2,12.13379,75.78765,585702.8228,1341471.771,722,3164
Makutta,3,Makutta3,12.12919,75.79463,586463.8317,1340965.267,765,3283
Makutta,4,Makutta4,12.12196,75.78487,585404.0838,1340162.635,673,3342
Margodu,1,Margodu1,12.3551,75.78915,585794.548,1365946.827,1029,2313
Palangala,1,Palangala1,12.18525,75.71556,577843.4715,1347140.958,931,3387
Palangala,2,Palangala2,12.18375,75.71478,577759.0505,1346974.853,946,3387
Palangala,3,Palangala3,12.1833,75.71381,577653.6526,1346924.811,977,3387
Palangala,4,Palangala4,12.18121,75.71232,577492.1578,1346693.258,1001,3458
Pookala,1,Pookala1,12.06299,75.82723,590033.4165,1333654.8,841,3171
Pookala,2,Pookala2,12.06228,75.82492,589782.2228,1333575.524,879,3171
Pookala,3,Pookala3,12.06191,75.81859,589093.3604,1333532.541,879,3239
Pookala,4,Pookala4,12.06221,75.82187,589450.2707,1333566.785,877,3171
Ruduraguppae,1,Ruduraguppae1,12.15656,75.85566,593095.4446,1344012.226,830,2634
Ruduraguppae,2,Ruduraguppae2,12.15654,75.8549,593012.7582,1344009.754,834,2634
Ruduraguppae,3,Ruduraguppae3,12.15809,75.8552,593044.8614,1344181.272,845,2634
