site,treat,plot,uniqid,Sample.code,slope,Litter.depth,C,N,CtoN,remarks
Aabilu,C,1,Aabilu1,P1S1,FS,1.9,1.89,0.184,10.27173913,
Aabilu,C,1,Aabilu1,P1S2,FS,2.5,1.73,0.18,9.611111111,
Aabilu,C,1,Aabilu1,P1S3,FS,2.9,2.13,0.235,9.063829787,30 IC
Aabilu,C,2,Aabilu2,P2S1,FS,3.3,3.5,0.339,10.32448378,20 IC
Aabilu,C,2,Aabilu2,P2S2,FS,2.6,3.43,0.354,9.689265537,
Aabilu,C,2,Aabilu2,P2S3,FS,3.5,3.97,0.364,10.90659341,
Aabilu,C,3,Aabilu3,P3S1,FS,3.1,4.44,0.386,11.50259067,
Aabilu,C,3,Aabilu3,P3S2,FS,3.1,2.51,0.263,9.543726236,
Aabilu,C,3,Aabilu3,P3S3,FS,2.3,3.49,0.327,10.67278287,
Aabilu,C,4,Aabilu4,P4S1,FS,2.6,1.16,0.11,10.54545455,
Aabilu,C,4,Aabilu4,P4S2,FS,3.1,1.25,0.109,11.46788991,
Aabilu,C,4,Aabilu4,P4S3,FS,2.6,0.872,0.102,8.549019608,
Ammathi,F,1,Ammathi1,P1S1,FS,3.8,2.74,0.268,10.2238806,30 IC
Ammathi,F,1,Ammathi1,P1S2,FS,2.9,1.8,0.26,6.923076923,
Ammathi,F,1,Ammathi1,P1S3,FS,5.4,1.77,0.195,9.076923077,
Ammathi,F,2,Ammathi2,P2S1,FS,5,2.42,0.2,12.1,
Ammathi,F,2,Ammathi2,P2S2,FS,4.5,2.21,0.212,10.4245283,
Ammathi,F,2,Ammathi2,P2S3,FS,4.7,2.23,0.337,6.617210683,
Arji,F,1,Arji1,P1S1,TS,5.6,1.66,0.22,7.545454546,30 IC
Arji,F,1,Arji1,P1S2,TS,5.7,1.63,0.191,8.534031414,
Arji,F,1,Arji1,P1S3,TS,5.2,2.14,0.251,8.525896414,
Arji,F,2,Arji2,P2S1,FS,2.6,1.77,0.218,8.119266055,
Arji,F,2,Arji2,P2S2,FS,4.8,1.62,0.204,7.941176471,
Arji,F,2,Arji2,P2S3,FS,6.4,1.17,0.145,8.068965517,
Arpattu,F,1,Arpattu1,P1S1,BS,4.2,1.33,0.149,8.926174497,
Arpattu,F,1,Arpattu1,P1S2,BS,3.6,2.93,0.338,8.668639053,
Arpattu,F,1,Arpattu1,P1S3,BS,5.1,1.34,0.181,7.403314917,
Arpattu,F,2,Arpattu2,P2S1,FS,4.6,1.21,0.157,7.707006369,30 IC
Arpattu,F,2,Arpattu2,P2S2,FS,4.1,2.43,0.285,8.52631579,
Arpattu,F,2,Arpattu2,P2S3,FS,3,1.83,0.239,7.656903766,
Biruga,C,1,Biruga1,P1S1,BS,5.1,3.09,0.346,8.930635838,
Biruga,C,1,Biruga1,P1S2,BS,4.5,2.3,0.219,10.50228311,
Biruga,C,1,Biruga1,P1S3,BS,4.6,2.58,0.259,9.961389961,
Biruga,C,2,Biruga2,P2S1,BS,3,5.51,0.464,11.875,
Biruga,C,2,Biruga2,P2S2,BS,2.8,3.81,0.347,10.97982709,20 IC
Biruga,C,2,Biruga2,P2S3,BS,3.5,3.71,0.344,10.78488372,
Biruga,C,3,Biruga3,P3S1,BS,2.5,3.65,0.306,11.92810458,
Biruga,C,3,Biruga3,P3S2,BS,3.5,3.9,0.333,11.71171171,
Biruga,C,3,Biruga3,P3S3,BS,4,3.75,0.362,10.35911602,
Devanageri,F,1,Devanageri1,P1S1,FS,4.4,1.97,0.287,6.864111498,
Devanageri,F,1,Devanageri1,P1S2,FS,4.8,1.9,0.257,7.392996109,
Devanageri,F,1,Devanageri1,P1S3,FS,6.6,2.43,0.294,8.265306122,
Devanageri,F,2,Devanageri2,P2S1,FS,3.5,1.79,0.216,8.287037037,
Devanageri,F,2,Devanageri2,P2S2,FS,3.5,1.8,0.219,8.219178082,30 IC
Devanageri,F,2,Devanageri2,P2S3,FS,3.5,1.93,0.176,10.96590909,20 IC
Devanageri,F,2,Devanageri3,P2S1,FS,3.5,1.79,0.216,8.287037037,
Devanageri,F,2,Devanageri3,P2S2,FS,3.5,1.8,0.219,8.219178082,30 IC
Devanageri,F,2,Devanageri3,P2S3,FS,3.5,1.93,0.176,10.96590909,20 IC
Halagunda,F,1,Halagunda1,P1S1,BS,2.9,NA,NA,NA,missing
Halagunda,F,1,Halagunda1,P1S2,BS,4.1,1.22,0.15,8.133333333,
Halagunda,F,1,Halagunda1,P1S3,BS,3.5,2.25,0.241,9.336099585,
Halagunda,F,2,Halagunda2,P2S1,FS,4.6,1.79,0.209,8.564593301,
Halagunda,F,2,Halagunda2,P2S2,FS,2.4,1.24,0.157,7.898089172,
Halagunda,F,2,Halagunda2,P2S3,FS,4,1.58,0.178,8.876404494,
Halligattu,F,1,Halligattu1,P1S1,BS,3.3,1.58,0.169,9.349112426,
Halligattu,F,1,Halligattu1,P1S2,BS,3,2.27,0.235,9.659574468,20 IC
Halligattu,F,1,Halligattu1,P1S3,BS,3.2,1.08,0.136,7.941176471,
Halligattu,F,2,Halligattu2,P2S1,FS,6.3,1.83,0.221,8.280542986,
Halligattu,F,2,Halligattu2,P2S2,FS,3.7,1.64,0.214,7.663551402,
Halligattu,F,2,Halligattu2,P2S3,FS,3.7,1.41,0.151,9.337748344,
Hathure,F,1,Hathure1,P1S1,FS,5.7,1.09,0.145,7.517241379,
